============================================================
Dependency Check Results
============================================================

Timestamp: 2026-05-07 05:32:57 UTC
Commit: 6c1404b789ba3329661f523144a842bd10bbe8b9
Branch: refs/heads/main
Run ID: 25477844436

============================================================
Outdated Dependencies (cargo outdated)
============================================================

Name                                             Project                        Compat   Latest   Kind         Platform
----                                             -------                        ------   ------   ----         --------
axum->tokio                                      1.52.1                         1.52.2   1.52.2   Normal       ---
bitstream-io->no_std_io2                         0.9.3                          0.9.4    0.9.4    Normal       ---
chrono->js-sys                                   0.3.97                         0.3.98   0.3.98   Normal       cfg(all(target_arch = "wasm32", not(any(target_os = "emscripten", target_os = "wasi"))))
chrono->wasm-bindgen                             0.2.120                        0.2.121  0.2.121  Normal       cfg(all(target_arch = "wasm32", not(any(target_os = "emscripten", target_os = "wasi"))))
const-serialize->const-serialize                 0.7.2                          Removed  Removed  Normal       ---
const-serialize->const-serialize-macro           0.7.2                          Removed  Removed  Normal       ---
const-serialize->const-serialize-macro           0.8.0-alpha.0                  0.7.2    0.7.2    Normal       ---
const-serialize->serde                           1.0.228                        Removed  Removed  Normal       ---
const-serialize-macro->proc-macro2               1.0.106                        Removed  Removed  Normal       ---
const-serialize-macro->quote                     1.0.45                         Removed  Removed  Normal       ---
const-serialize-macro->syn                       2.0.117                        Removed  Removed  Normal       ---
diesel->libsqlite3-sys                           0.36.0                         ---      0.37.0   Normal       cfg(not(all(target_family = "wasm", target_os = "unknown")))
dioxus-asset-resolver->tokio                     1.52.1                         1.52.2   1.52.2   Normal       ---
dioxus-cli-config->wasm-bindgen                  0.2.120                        0.2.121  0.2.121  Normal       ---
dioxus-desktop->tokio                            1.52.1                         1.52.2   1.52.2   Normal       ---
dioxus-fullstack->js-sys                         0.3.97                         0.3.98   0.3.98   Normal       ---
dioxus-fullstack->pin-project                    1.1.11                         1.1.12   1.1.12   Normal       ---
dioxus-fullstack->wasm-bindgen                   0.2.120                        0.2.121  0.2.121  Normal       ---
dioxus-fullstack->wasm-bindgen-futures           0.4.70                         0.4.71   0.4.71   Normal       ---
dioxus-fullstack-core->tokio                     1.52.1                         1.52.2   1.52.2   Normal       ---
dioxus-html->enumset                             1.1.10                         1.1.12   1.1.12   Normal       ---
dioxus-interpreter-js->js-sys                    0.3.97                         0.3.98   0.3.98   Normal       ---
dioxus-interpreter-js->wasm-bindgen              0.2.120                        0.2.121  0.2.121  Normal       ---
dioxus-interpreter-js->wasm-bindgen-futures      0.4.70                         0.4.71   0.4.71   Normal       ---
dioxus-interpreter-js->web-sys                   0.3.97                         0.3.98   0.3.98   Normal       ---
dioxus-server->enumset                           1.1.10                         1.1.12   1.1.12   Normal       ---
dioxus-server->pin-project                       1.1.11                         1.1.12   1.1.12   Normal       ---
dioxus-server->tokio                             1.52.1                         1.52.2   1.52.2   Normal       cfg(not(target_arch = "wasm32"))
dioxus-server->tower-http                        0.6.8                          0.6.10   0.6.10   Normal       ---
dioxus-web->js-sys                               0.3.97                         0.3.98   0.3.98   Normal       ---
dioxus-web->wasm-bindgen                         0.2.120                        0.2.121  0.2.121  Normal       ---
dioxus-web->wasm-bindgen-futures                 0.4.70                         0.4.71   0.4.71   Normal       ---
