============================================================
Dependency Check Results
============================================================

Timestamp: 2026-05-09 05:22:43 UTC
Commit: ff3daf4a485f4433a3d00536ad55fc21bfa48bb0
Branch: refs/heads/main
Run ID: 25592780327

============================================================
Outdated Dependencies (cargo outdated)
============================================================

Name                                             Project                        Compat   Latest   Kind         Platform
----                                             -------                        ------   ------   ----         --------
axum->tokio                                      1.52.1                         1.52.3   1.52.3   Normal       ---
bitstream-io->no_std_io2                         0.9.3                          0.9.4    0.9.4    Normal       ---
chrono->js-sys                                   0.3.97                         0.3.98   0.3.98   Normal       cfg(all(target_arch = "wasm32", not(any(target_os = "emscripten", target_os = "wasi"))))
chrono->wasm-bindgen                             0.2.120                        0.2.121  0.2.121  Normal       cfg(all(target_arch = "wasm32", not(any(target_os = "emscripten", target_os = "wasi"))))
const-serialize->const-serialize                 0.7.2                          Removed  Removed  Normal       ---
const-serialize->const-serialize-macro           0.7.2                          Removed  Removed  Normal       ---
const-serialize->const-serialize-macro           0.8.0-alpha.0                  0.7.2    0.7.2    Normal       ---
const-serialize->serde                           1.0.228                        Removed  Removed  Normal       ---
const-serialize-macro->proc-macro2               1.0.106                        Removed  Removed  Normal       ---
const-serialize-macro->quote                     1.0.45                         Removed  Removed  Normal       ---
const-serialize-macro->syn                       2.0.117                        Removed  Removed  Normal       ---
diesel->libsqlite3-sys                           0.36.0                         ---      0.37.0   Normal       cfg(not(all(target_family = "wasm", target_os = "unknown")))
dioxus                                           0.7.7                          0.7.9    0.7.9    Normal       ---
dioxus->dioxus-asset-resolver                    0.7.7                          0.7.9    0.7.9    Normal       ---
dioxus->dioxus-cli-config                        0.7.7                          0.7.9    0.7.9    Normal       ---
dioxus->dioxus-config-macro                      0.7.7                          0.7.9    0.7.9    Normal       ---
dioxus->dioxus-config-macros                     0.7.7                          0.7.9    0.7.9    Normal       ---
dioxus->dioxus-core                              0.7.7                          0.7.9    0.7.9    Normal       ---
dioxus->dioxus-core-macro                        0.7.7                          0.7.9    0.7.9    Normal       ---
dioxus->dioxus-devtools                          0.7.7                          0.7.9    0.7.9    Normal       ---
dioxus->dioxus-document                          0.7.7                          0.7.9    0.7.9    Normal       ---
