============================================================
Dependency Check Results
============================================================

Timestamp: 2026-05-23 05:40:23 UTC
Commit: 6c381b95820b0061ca77bf18dee57bdaa08f8fe0
Branch: refs/heads/main
Run ID: 26324845160

============================================================
Outdated Dependencies (cargo outdated)
============================================================

Name                                             Project                        Compat   Latest   Kind         Platform
----                                             -------                        ------   ------   ----         --------
async-io->autocfg                                1.5.0                          1.5.1    1.5.1    Build        ---
bitstream-io->no_std_io2                         0.9.3                          0.9.4    0.9.4    Normal       ---
chrono->js-sys                                   0.3.97                         0.3.99   0.3.99   Normal       cfg(all(target_arch = "wasm32", not(any(target_os = "emscripten", target_os = "wasi"))))
chrono->wasm-bindgen                             0.2.120                        0.2.122  0.2.122  Normal       cfg(all(target_arch = "wasm32", not(any(target_os = "emscripten", target_os = "wasi"))))
const-serialize->const-serialize                 0.7.2                          Removed  Removed  Normal       ---
const-serialize->const-serialize-macro           0.7.2                          Removed  Removed  Normal       ---
const-serialize->const-serialize-macro           0.8.0-alpha.0                  0.7.2    0.7.2    Normal       ---
const-serialize->serde                           1.0.228                        Removed  Removed  Normal       ---
const-serialize-macro->proc-macro2               1.0.106                        Removed  Removed  Normal       ---
const-serialize-macro->quote                     1.0.45                         Removed  Removed  Normal       ---
const-serialize-macro->syn                       2.0.117                        Removed  Removed  Normal       ---
der-parser->asn1-rs                              0.7.1                          0.7.2    0.7.2    Normal       ---
diesel->libsqlite3-sys                           0.36.0                         ---      0.37.0   Normal       cfg(not(all(target_family = "wasm", target_os = "unknown")))
diesel->sqlite-wasm-rs                           0.5.3                          0.5.4    0.5.4    Normal       cfg(all(target_family = "wasm", target_os = "unknown"))
dioxus-cli-config->wasm-bindgen                  0.2.120                        0.2.122  0.2.122  Normal       ---
dioxus-desktop->serde_json                       1.0.149                        1.0.150  1.0.150  Normal       ---
dioxus-devtools->serde_json                      1.0.149                        1.0.150  1.0.150  Normal       ---
dioxus-document->serde_json                      1.0.149                        1.0.150  1.0.150  Normal       ---
dioxus-html->enumset                             1.1.10                         1.1.13   1.1.13   Normal       ---
dioxus-html->serde_json                          1.0.149                        1.0.150  1.0.150  Normal       ---
dioxus-interpreter-js->js-sys                    0.3.97                         0.3.99   0.3.99   Normal       ---
dioxus-interpreter-js->wasm-bindgen              0.2.120                        0.2.122  0.2.122  Normal       ---
dioxus-interpreter-js->wasm-bindgen-futures      0.4.70                         0.4.72   0.4.72   Normal       ---
dioxus-interpreter-js->web-sys                   0.3.97                         0.3.99   0.3.99   Normal       ---
dioxus-web->js-sys                               0.3.97                         0.3.99   0.3.99   Normal       ---
dioxus-web->serde_json                           1.0.149                        1.0.150  1.0.150  Normal       ---
dioxus-web->wasm-bindgen                         0.2.120                        0.2.122  0.2.122  Normal       ---
dioxus-web->wasm-bindgen-futures                 0.4.70                         0.4.72   0.4.72   Normal       ---
dioxus-web->web-sys                              0.3.97                         0.3.99   0.3.99   Normal       ---
dsl_auto_type->either                            1.15.0                         1.16.0   1.16.0   Normal       ---
enumset->enumset_derive                          0.14.0                         0.15.0   0.15.0   Normal       ---
futures-bounded->futures-timer                   3.0.3                          3.0.4    3.0.4    Normal       ---
getrandom->js-sys                                0.3.97                         0.3.99   0.3.99   Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
getrandom->js-sys                                0.3.97                         0.3.99   0.3.99   Normal       cfg(all(target_arch = "wasm32", any(target_os = "unknown", target_os = "none"), target_feature = "atomics"))
getrandom->wasi                                  0.11.1+wasi-snapshot-preview1  Removed  Removed  Normal       cfg(target_os = "wasi")
getrandom->wasm-bindgen                          0.2.120                        0.2.122  0.2.122  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
getrandom->wasm-bindgen                          0.2.120                        0.2.122  0.2.122  Normal       cfg(all(target_arch = "wasm32", any(target_os = "unknown", target_os = "none")))
gloo-timers->js-sys                              0.3.97                         0.3.99   0.3.99   Normal       ---
gloo-timers->wasm-bindgen                        0.2.120                        0.2.122  0.2.122  Normal       ---
hyper->h2                                        0.4.13                         0.4.14   0.4.14   Normal       ---
iana-time-zone->js-sys                           0.3.97                         0.3.99   0.3.99   Normal       cfg(all(target_arch = "wasm32", target_os = "unknown"))
iana-time-zone->wasm-bindgen                     0.2.120                        0.2.122  0.2.122  Normal       cfg(all(target_arch = "wasm32", target_os = "unknown"))
iana-time-zone-haiku->cc                         1.2.61                         1.2.62   1.2.62   Build        ---
icu_collections->zerofrom                        0.1.7                          0.1.8    0.1.8    Normal       ---
