============================================================
Dependency Check Results
============================================================

Timestamp: 2026-08-31 08:10:42 UTC
Commit: 1d0fbe747a7adca477f7e1b50294d3c365e49a43
Branch: refs/heads/main
Run ID: 33371634777

============================================================
Outdated Dependencies (cargo outdated)
============================================================

Name                                             Project                        Compat   Latest   Kind         Platform
----                                             -------                        ------   ------   ----         --------
base256emoji->match-lookup                       0.1.2                          0.1.3    0.1.3    Normal       ---
block-buffer->generic-array                      0.14.7                         ---      Removed  Normal       ---
bs58->tinyvec                                    1.12.0                         ---      Removed  Normal       ---
bytes->serde                                     1.0.229                        ---      Removed  Normal       ---
cfb->uuid                                        1.25.0                         1.26.0   1.26.0   Normal       ---
chacha20->cpufeatures                            0.3.0                          0.3.1    0.3.1    Normal       cfg(any(target_arch = "x86_64", target_arch = "x86"))
color-eyre->owo-colors                           4.3.0                          4.4.0    4.4.0    Normal       ---
color-spantrace->owo-colors                      4.3.0                          4.4.0    4.4.0    Normal       ---
const-serialize->const-serialize                 0.7.2                          Removed  Removed  Normal       ---
const-serialize->const-serialize-macro           0.7.2                          Removed  Removed  Normal       ---
const-serialize->const-serialize-macro           0.8.0-alpha.1                  0.7.2    0.7.2    Normal       ---
const-serialize->serde                           1.0.229                        Removed  Removed  Normal       ---
const-serialize-macro->proc-macro2               1.0.107                        Removed  Removed  Normal       ---
const-serialize-macro->quote                     1.0.47                         Removed  Removed  Normal       ---
const-serialize-macro->syn                       2.0.119                        Removed  Removed  Normal       ---
cpufeatures->libc                                0.2.189                        ---      Removed  Normal       aarch64-linux-android
crypto-common->generic-array                     0.14.7                         ---      Removed  Normal       ---
crypto-common->rand_core                         0.6.4                          ---      Removed  Normal       ---
crypto-common->typenum                           1.20.1                         ---      Removed  Normal       ---
curve25519-dalek->cfg-if                         1.0.4                          ---      Removed  Normal       ---
curve25519-dalek->cpufeatures                    0.2.17                         ---      Removed  Normal       cfg(target_arch = "x86_64")
curve25519-dalek->curve25519-dalek-derive        0.1.1                          ---      Removed  Normal       cfg(all(not(curve25519_dalek_backend = "fiat"), not(curve25519_dalek_backend = "serial"), target_arch = "x86_64"))
curve25519-dalek->digest                         0.10.7                         ---      Removed  Normal       ---
curve25519-dalek->fiat-crypto                    0.2.9                          ---      Removed  Normal       cfg(curve25519_dalek_backend = "fiat")
curve25519-dalek->rustc_version                  0.4.1                          ---      Removed  Build        ---
curve25519-dalek->subtle                         2.6.1                          ---      Removed  Normal       ---
curve25519-dalek->zeroize                        1.9.0                          ---      Removed  Normal       ---
curve25519-dalek-derive->proc-macro2             1.0.107                        ---      Removed  Normal       ---
curve25519-dalek-derive->quote                   1.0.47                         ---      Removed  Normal       ---
curve25519-dalek-derive->syn                     2.0.119                        ---      Removed  Normal       ---
der->const-oid                                   0.9.6                          ---      Removed  Normal       ---
der->zeroize                                     1.9.0                          ---      Removed  Normal       ---
diesel->libsqlite3-sys                           0.36.0                         ---      0.38.2   Normal       cfg(not(all(target_family = "wasm", target_os = "unknown")))
digest->block-buffer                             0.10.4                         ---      Removed  Normal       ---
digest->crypto-common                            0.1.7                          ---      Removed  Normal       ---
digest->subtle                                   2.6.1                          ---      Removed  Normal       ---
ed25519->pkcs8                                   0.10.2                         ---      Removed  Normal       ---
ed25519->signature                               2.2.0                          ---      Removed  Normal       ---
ed25519-dalek->curve25519-dalek                  4.1.3                          ---      Removed  Normal       ---
ed25519-dalek->ed25519                           2.2.3                          ---      Removed  Normal       ---
ed25519-dalek->serde                             1.0.229                        ---      Removed  Normal       ---
ed25519-dalek->sha2                              0.10.9                         ---      Removed  Normal       ---
ed25519-dalek->subtle                            2.6.1                          ---      Removed  Normal       ---
ed25519-dalek->zeroize                           1.9.0                          ---      Removed  Normal       ---
flate2->miniz_oxide                              0.8.9                          0.9.1    0.9.1    Normal       ---
flutter_rust_bridge                              2.12.0                         ---      2.13.0   Normal       ---
flutter_rust_bridge->flutter_rust_bridge_macros  2.12.0                         ---      2.13.0   Normal       ---
futures-channel->futures-core                    0.3.34                         ---      Removed  Normal       ---
futures-channel->futures-core                    0.3.34                         Removed  Removed  Normal       ---
futures-channel->futures-sink                    0.3.34                         ---      Removed  Normal       ---
futures-channel->futures-sink                    0.3.34                         Removed  Removed  Normal       ---
futures-macro->proc-macro2                       1.0.107                        ---      Removed  Normal       ---
futures-macro->proc-macro2                       1.0.107                        Removed  Removed  Normal       ---
futures-macro->quote                             1.0.47                         ---      Removed  Normal       ---
futures-macro->quote                             1.0.47                         Removed  Removed  Normal       ---
futures-macro->syn                               3.0.4                          ---      Removed  Normal       ---
futures-macro->syn                               3.0.4                          Removed  Removed  Normal       ---
futures-util->futures-channel                    0.3.34                         ---      Removed  Normal       ---
futures-util->futures-channel                    0.3.34                         Removed  Removed  Normal       ---
futures-util->futures-core                       0.3.34                         ---      Removed  Normal       ---
futures-util->futures-core                       0.3.34                         Removed  Removed  Normal       ---
futures-util->futures-io                         0.3.34                         ---      Removed  Normal       ---
futures-util->futures-io                         0.3.34                         Removed  Removed  Normal       ---
futures-util->futures-macro                      0.3.34                         ---      Removed  Normal       ---
futures-util->futures-macro                      0.3.34                         Removed  Removed  Normal       ---
futures-util->futures-sink                       0.3.34                         ---      Removed  Normal       ---
futures-util->futures-sink                       0.3.34                         Removed  Removed  Normal       ---
futures-util->futures-task                       0.3.34                         ---      Removed  Normal       ---
futures-util->futures-task                       0.3.34                         Removed  Removed  Normal       ---
futures-util->memchr                             2.8.3                          ---      Removed  Normal       ---
futures-util->memchr                             2.8.3                          Removed  Removed  Normal       ---
futures-util->pin-project-lite                   0.2.17                         ---      Removed  Normal       ---
futures-util->pin-project-lite                   0.2.17                         Removed  Removed  Normal       ---
futures-util->slab                               0.4.12                         ---      Removed  Normal       ---
futures-util->slab                               0.4.12                         Removed  Removed  Normal       ---
generic-array->typenum                           1.20.1                         ---      Removed  Normal       ---
generic-array->version_check                     0.9.5                          ---      Removed  Build        ---
getrandom->cfg-if                                1.0.4                          ---      Removed  Normal       ---
getrandom->js-sys                                0.3.104                        ---      Removed  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
getrandom->js-sys                                0.3.104                        Removed  Removed  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
getrandom->libc                                  0.2.189                        ---      Removed  Normal       cfg(unix)
getrandom->wasi                                  0.11.1+wasi-snapshot-preview1  ---      Removed  Normal       cfg(target_os = "wasi")
getrandom->wasi                                  0.11.1+wasi-snapshot-preview1  Removed  Removed  Normal       cfg(target_os = "wasi")
getrandom->wasm-bindgen                          0.2.127                        ---      Removed  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
getrandom->wasm-bindgen                          0.2.127                        Removed  Removed  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
h2->indexmap                                     2.14.0                         2.14.1   2.14.1   Normal       ---
hkdf->hmac                                       0.12.1                         ---      Removed  Normal       ---
hmac->digest                                     0.10.7                         ---      Removed  Normal       ---
hyper-util->hyper                                1.11.0                         1.11.1   1.11.1   Normal       ---
igd-next->hyper                                  1.11.0                         1.11.1   1.11.1   Normal       ---
itertools->either                                1.18.0                         ---      Removed  Normal       ---
jni->combine                                     4.6.7                          4.6.8    4.6.8    Normal       ---
js-sys->cfg-if                                   1.0.4                          ---      Removed  Normal       ---
js-sys->cfg-if                                   1.0.4                          Removed  Removed  Normal       ---
js-sys->futures-util                             0.3.34                         ---      Removed  Normal       ---
js-sys->futures-util                             0.3.34                         Removed  Removed  Normal       ---
js-sys->wasm-bindgen                             0.2.127                        ---      Removed  Normal       ---
js-sys->wasm-bindgen                             0.2.127                        Removed  Removed  Normal       ---
kuchikiki->indexmap                              2.14.0                         2.14.1   2.14.1   Normal       ---
libp2p-core->rand                                0.8.7                          0.8.8    0.8.8    Normal       ---
libp2p-gossipsub->rand                           0.8.7                          0.8.8    0.8.8    Normal       ---
libp2p-identity                                  0.2.14                         ---      0.3.0    Normal       ---
libp2p-identity->bs58                            0.5.1                          ---      Removed  Normal       ---
libp2p-identity->ed25519-dalek                   2.2.0                          ---      Removed  Normal       ---
libp2p-identity->hkdf                            0.12.4                         ---      Removed  Normal       ---
libp2p-identity->multihash                       0.19.5                         ---      Removed  Normal       ---
libp2p-identity->prost                           0.14.4                         ---      Removed  Normal       ---
libp2p-identity->rand                            0.8.7                          0.8.8    0.8.8    Normal       ---
