Name                                             Project                        Compat   Latest   Kind         Platform
----                                             -------                        ------   ------   ----         --------
async-trait->syn                                 3.0.4                          3.0.5    3.0.5    Normal       ---
block-buffer->generic-array                      0.14.7                         ---      Removed  Normal       ---
bs58->tinyvec                                    1.12.0                         1.13.2   1.13.2   Normal       ---
bs58->tinyvec                                    1.12.0                         1.13.2   Removed  Normal       ---
bytes->serde                                     1.0.229                        ---      Removed  Normal       ---
cc->find-msvc-tools                              0.1.11                         0.1.12   0.1.12   Normal       ---
chrono->js-sys                                   0.3.104                        0.3.105  0.3.105  Normal       cfg(all(target_arch = "wasm32", not(any(target_os = "emscripten", target_os = "wasi"))))
chrono->wasm-bindgen                             0.2.127                        0.2.128  0.2.128  Normal       cfg(all(target_arch = "wasm32", not(any(target_os = "emscripten", target_os = "wasi"))))
clap_derive->syn                                 3.0.4                          3.0.5    3.0.5    Normal       ---
concurrent-queue->crossbeam-utils                0.8.22                         0.8.23   0.8.23   Normal       ---
console_error_panic_hook->wasm-bindgen           0.2.127                        0.2.128  0.2.128  Normal       ---
cpufeatures->libc                                0.2.189                        ---      Removed  Normal       aarch64-linux-android
crossbeam-channel->crossbeam-utils               0.8.22                         0.8.23   0.8.23   Normal       ---
crossbeam-epoch->crossbeam-utils                 0.8.22                         0.8.23   0.8.23   Normal       ---
crossterm->mio                                   1.2.2                          1.2.3    1.2.3    Normal       cfg(unix)
crypto-common->generic-array                     0.14.7                         ---      Removed  Normal       ---
crypto-common->rand_core                         0.6.4                          ---      Removed  Normal       ---
crypto-common->typenum                           1.20.1                         ---      Removed  Normal       ---
curve25519-dalek->cfg-if                         1.0.4                          ---      Removed  Normal       ---
curve25519-dalek->cpufeatures                    0.2.17                         ---      Removed  Normal       cfg(target_arch = "x86_64")
curve25519-dalek->curve25519-dalek-derive        0.1.1                          ---      Removed  Normal       cfg(all(not(curve25519_dalek_backend = "fiat"), not(curve25519_dalek_backend = "serial"), target_arch = "x86_64"))
curve25519-dalek->digest                         0.10.7                         ---      Removed  Normal       ---
curve25519-dalek->fiat-crypto                    0.2.9                          ---      Removed  Normal       cfg(curve25519_dalek_backend = "fiat")
curve25519-dalek->rustc_version                  0.4.1                          ---      Removed  Build        ---
curve25519-dalek->subtle                         2.6.1                          ---      Removed  Normal       ---
curve25519-dalek->zeroize                        1.9.0                          ---      Removed  Normal       ---
curve25519-dalek-derive->proc-macro2             1.0.107                        ---      Removed  Normal       ---
curve25519-dalek-derive->quote                   1.0.47                         ---      Removed  Normal       ---
curve25519-dalek-derive->syn                     2.0.119                        ---      Removed  Normal       ---
darling_core->syn                                3.0.4                          3.0.5    3.0.5    Normal       ---
darling_macro->syn                               3.0.4                          3.0.5    3.0.5    Normal       ---
dart-sys->cc                                     1.4.4                          1.4.5    1.4.5    Build        ---
data-encoding-macro-internal->syn                1.0.109                        3.0.5    3.0.5    Normal       ---
